Title	Price	City	Location	Microlocation	Street	Type	Area	Rooms	Poster	Heating	Furnished	Floor	FloorTotal	PaymentType	Additional	Other	Description	PostingId	PostingDate
Namešten stan 50m² + garaža, naselje Paunov breg	600 €	Beograd	Opština Voždovac	Banjica	Bulevar JNA	stan	50 m2	2.0	Vlasnik	CG	namešteno	4	7	mesečno	['Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Topla voda', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža', 'Parking']	Izdaje se kompletno namešten stan površine 50 m² u naselju Paunov breg. Stan je funkcionalnog rasporeda, poseduje terasu i useljiv je od 01.04.2026. Grejanje je centralno sa kalorimetrom (mogućnost kontrole potrošnje, pri isključenju plaća se samo pretplata). Stan je opremljen inverter klimom, ugradnom kuhinjom sa kerok pločom, kao i ugradnim plakarom u spavaćoj sobi. Obezbeđeni su kablovska televizija i internet. Uz stan dolazi i garažno mesto površine 15 m², uključeno u cenu. Stan se nalazi u novoj zgradi, u mirnom delu naselja, sa odličnom povezanošću i kompletnom infrastrukturom u neposrednoj blizini. Zgrada je udaljena svega 50 m od okretnice autobusa i trolejbusa (linije: 40, 41, 78, 401, 402). U okviru naselja nalazi se tržni centar sa svim potrebnim sadržajima: restoran, supermarket (Maxi), hemijsko čišćenje, knjižara, menjačnica, kao i igraonica i dm drogerie markt drogerija. Cena: 600 € mesečno (stan + garaža) Kontakt: +381642496607 (Igor) Depozit u visini jedne kirije. Izdavanje na duži period.	5425646844833	03.03.2026. u 23:04
Moderno opremljen stan u mirnom delu Mirijeva	500 €	Beograd	Opština Zvezdara	Mirijevo	Milivoja Miće Tomića	stan	43 m2	2.0	Vlasnik		namešteno	3	3	mesečno	['Odmah useljiv', 'Nije stan u kući', 'Depozit', 'Za studente']	['Terasa', 'Klima', 'KATV', 'Internet']	Izdaje se potpuno renoviran i opremljen stan od 43m² u Mirijevu, u neposrednoj blizini okretnice Mirijevo 4. Stan se nalazi u manjoj porodicnoj zgradi u mirnom delu Mirijeva. Stan je svetao i nalazi se na suncanoj strani sa pogledom na istocnu kapiju grada, uređen u modernom stilu, funkcionalan i spreman za useljenje bez ikakvih dodatnih ulaganja. Grejanje i hlađenje obezbeđeni su putem inverter klima uređaja, što garantuje nisku potrošnju energije tokom cele godine. Mesečne režije iznose svega oko 50€. Pored glavnog životnog prostora, stan poseduje odvojenu prostoriju za veš/sušenje, kao i terasu od 9m² – idealno za uživanje na svežem vazduhu. Lokacija je odlično povezana gradskim prevozom, a u neposrednom okruženju nalaze se prodavnice, pijaca i svi neophodni sadržaji za svakodnevni život. Dostupan za razgledanje po dogovoru. Samo zainteresovani mogu da se jave putem WhatsApp/Vibera na +381642282452	5425646844832	03.03.2026. u 23:00
Odmah useljiv odličan stan	550 €	Beograd	Opština Voždovac	Lekino brdo	Petrovaradinska	stan	50 m2	2.0	Agencija	EG	namešteno	1	4	mesečno	['Odmah useljiv', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor']	 Komforan kompletno namešten  DVOSOBAN stan, sa lepim velikim sobama,  kupatilom optimalne veličine za stan ovog gabarita,  i divnom terasom, koja je zaista pravo mesto za uživanje., svetao i prijatan, prostor, , opremljen nameštajem i tehnikom za sasvim komforan život, sudo-mašina, veš-mašina, dovoljno prostora za odlaganje, kvalitetan francuski ležaj u spavaćoj sobi i ugaona garnitura koja može da se proširi u ležaj po potrebi, u dnevnoj sobi, tako da budućem zakupcu ostaje samo da unese kofere i nekim lepim ličnim detaljima  oplemeni prostor i prilagodi ga  svojim potrebama i estetici. Zgrada je novije gradnje, na odličnoj poziciji u mirnoj Petrovaradinskoj ulici na Lekinom brdu, u neposrednoj blizini nalaze se odlično snabdevanje i više linija gradskog prevoza, kojima je ovaj grad kvalitetno povezan sa centrom grada, Vračarom, Zvezdarom i Voždovcem.. Stan je odmah useljiv uz mesečno plaćanje i obavezan depozit u visini jedne mesečne rente, a za sve dodatne informacije i posetu stanu, mi smo vam na raspolaganju. Kontakt: 060-50-888-01 Vaš posrednik Vista nekretnine Agencija naplaćuje proviziju za posredovanje u zakupu ove nepokretnosti.  	5425646844993	03.03.2026. u 21:23
Novi Beograd - ZepTerra #66459	1.100 €	Beograd	Opština Novi Beograd	Blok 65	Tadije Sondermajera	stan	60 m2	2.0	Agencija	CG	namešteno	6	9	mesečno	['Nije poslednji sprat', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Garaža']	50% od prve mesečne zakupnine	5425646844357	03.03.2026. u 21:21
Zemun - Gornji grad #66457	380 €	Beograd	Opština Zemun	Gornji grad	Ugrinovacka	stan	36 m2	2.0	Agencija	EG	namešteno	2	4	mesečno	['Nije poslednji sprat', 'Depozit']	['Terasa', 'Klima', 'Telefon', 'KATV', 'Internet']	50% od prve mesečne zakupnine	5425646844354	03.03.2026. u 21:19
Izdaje se stan pored Kalemegdana	2.200 €	Beograd	Opština Stari grad	Kalemegdan	Gospodar Jovanova	stan	150 m2	5.0	Vlasnik	CG	polunamešteno	6	7	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Za nepušače']	['Terasa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža']	Izdajemo fantastičan, petosoban stan u Gospodar Jovanovoj ulici, na veoma atraktivnoj lokaciji u strogom centru Beograda, u neposrednoj blizini Kalemegdana. Stan se sastoji od hodnika, dva kupatila, četiri spavaće sobe, dnevnog boravka, kuhinje, trpezarije i dve terase. Kompletno je renoviran i izdaje se delimično namešten. Opremljen je ugradnim plakarima, ugradnom kuhinjom sa belom tehnikom, mašinom za pranje i sušenje veša. U cenu zakupa uračunato je garažno mesto, što predstavlja značajnu pogodnost u centru grada. Idealno kako za život višečlane porodice, tako i za poslovni prostor. Depozit u iznosu od jedne mesečne kirije.	5425646844691	03.03.2026. u 19:37
Fantastičan, lux, opremljen	700 €	Beograd	Opština Palilula	Bulevar despota Stefana	Bulevar despota Stefana	stan	60 m2	2.0	Agencija		namešteno	3	5		[]	['Terasa', 'Klima', 'Internet']	Izdaje se luks namešten dvosoban stan u centru Beograda u ulici Bulevar despota Stefana, u delu u kome se nalaze restorani, prodavnice brze hrane, benzinska pumpa, trafika, pijaca i veliki marketi kao što su Lidl, Maksi, Stop & Shop. U prizemlju zgrade nalaze se apoteka, pekara, prodavnica prehrambenih proizvoda, trafika, knjižara, menjačnica. Na podu je postavljena granitna keramika, u spavaćoj sobi je bambusov parket, PVC stolarija. Grejanje i hlađenje reguliše Gree U-Crown inox 18K A+++ inverter klima uređaj, koji postiže visok stepen grejanja ili hlađenja u celom stanu uz veoma ekonomičnu potrošnju električne energije. Dnevna soba je opremljena modernim italijanskim nameštajem u kombinaciji venge-metal, ugaonom garniturom od teleće kože, punjenje od perja za sedenje/ili spavanje, Samsung Smart TV-om od 46 inča. Spavaća soba je opremljena bračnim krevetom veličine „king size“ za dve osobe i dva ormara ukupne dužine 2,5 m. U kupatilu se nalazi tuš kabina sa hidromasažnom kolonom od inoksa italijanskog brenda, ugradni bojler Grohe, mašina za pranje veša ARISTON Slim A+++, bojler Ariston Velis kapaciteta 80 litara. Tehnička oprema najnovije generacije, halogena/led rasveta - AR111 u celom stanu, interfon. Obavezan depozit u visini jedne kirije. Prostorije: ulazni hodnik, dnevna soba, trpezarija sa kuhinjom, spavaća soba, kupatilo i terasa. Agencijska provizija se plaća u iznosu 50% od ugovorene mesečne zakupnine + PDV.	5425646654496	03.03.2026. u 19:26
BW Kings Residences, namešten, dvosoban, 55m2	1.100 €	Beograd	Opština Savski venac	Beograd na vodi	Luke Ćelovića Trebinjca	stan	55 m2	2.0	Agencija	CG	namešteno	3	12	mesečno	['Odmah useljiv', 'Depozit']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet', 'Interfon', 'Video nadzor']	Dostupan za izdavanje, ušuškan, lepo namešten stan sa jednom spavaćom sobom. Nalazi se u modernoj stambenoj zgradi BW King's Residences u neposrednoj blizini reke, Kule Beograd i BW Galerije, na idealnoj lokaciji u okviru projekta Beograd na vodi.  Ukupna površina 55 m2, dvosoban po strukturi. Sastoji se od 1 spavaće sobe, 1 kupatila, postranog dnevnog boravka sa kuhinjom u celini, iz kog se izlazi na terasu otvorenog pogleda, okrenutu suprotno od glavnog bulevara i gleda na mirnu stranu.  Stan se izdaje kompletno namešten novim nameštajem i električnim uređajima. Neuseljavan do sada.   Zgrada ima recepciju i fizičko-tehhničko obezbeđenje 24/7h.  Mogućnost zakupa garažnog mesta uz doplatu.  Stan je odmah useljiv. Preporuka.	5425646560394	03.03.2026. u 19:12
Izdaje se stan u ulici Miroslava Tirsa 60m2	550 €	Beograd	Opština Zemun	Centar	Miroslava Tirša	stan	60 m2	3.0	Agencija	TA	prazno	1	5	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Za studente', 'Smeštaj za radnike']	['Terasa', 'Topla voda']	U najlepsoj ulici u Zemunu, blizu Dunava izdajem stan koji je idealan za poslovni prosor.i za zivot, po vrlo realnoj ceni.Prvi sprat. 60kvm. Dve inverter klime, i ta peći, mali infostan.  Salona, visoki plafoni, jako debeli zidovi. 550e Maja 0637577729	5425646843752	03.03.2026. u 19:01
Ledine Najbolja Lokacja Lux	500 €	Beograd	Opština Novi Beograd	Ledine	Višegradska	stan	42 m2	2.0	Vlasnik	EG	namešteno	2	2	mesečno	['Odmah useljiv', 'Depozit', 'Za nepušače']	['Klima', 'Topla voda', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Parking']	Odlican stan u najboljem naselju na Ledinama. Wifi internet i kablovska su ukljuceni u cenu od 550€ . Infostan je oko 1000 dinara mesecno  Useljiv i spreman . Racuni za struju su niski jer je odradjena kvalitetna termicka izolacija od 15 cm grafitni stiropor plus blok debljine 25 cm. Kompletno opremljen. Nova Tus Kabina. Nova masina za pranje i susenje vesa. Sveze okrecen. Vrlo lepo osmišljen enterijer i funcionalnost stana. Plakara ima dosta za odecu i obucu. Inverter klima i radijatorsko grejanje. Parking jedan dostupan. Blizina prodavnica restorana i kafića. Samo poziv ,na poruke ne odgovaram. Vlasnik licno . Bez agencijske provizije.	5425646798291	03.03.2026. u 18:48
Sakura, Lux stan	800 €	Beograd	Opština Novi Beograd	Blok 67a (A blok)	Jurija Gagarina	stan	45 m2	2.0	Agencija	CG	polunamešteno	4	8	mesečno	['Odmah useljiv']	['Terasa', 'Lođa', 'Klima', 'Lift', 'Internet']	Sakura Nov lux opremljen stan preko puta Belvila,novogradnja, Rehau stolarija,podno grejanje,fancoil grejanje i hladjenje,hrastov parket,Porcelanosa keramika, Smart home sistem,automatski screen-ovi na prozorima,obezbedjenje u zgradi 24h. Ag. provizija 50%. - 8679	5425646844299	03.03.2026. u 18:47
